customer_ID,customer_lastname,credit_score,account_ID,age,Email
80872424,Payne,657,10059878,60,sampleemailtest30+55@gmail.com
98344753,Barnes,650,10059879,50,sampleemailtest30+56@gmail.com
34691763,Stevens,770,10059880,50,sampleemailtest30+57@gmail.com
85517098,Thompson,771,10059881,51,sampleemailtest30+58@gmail.com
1918502,Wright,772,10059882,55,sampleemailtest30+59@gmail.com
86350974,Hunt,773,10059883,50,sampleemailtest30+60@gmail.com
78071439,Howard,774,10059884,51,sampleemailtest30+61@gmail.com
42421652,Perry,775,10059885,52,sampleemailtest30+62@gmail.com
84332558,Holmes,776,10059886,60,sampleemailtest30+63@gmail.com
81099659,Gibson,777,10059887,59,sampleemailtest30+64@gmail.com
62967696,Morrison,778,10059888,55,sampleemailtest30+65@gmail.com
53979458,Roberts,,10059889,55,sampleemailtest30+66@gmail.com
83670069,Taylor,789,10059890,51,sampleemailtest30+67@gmail.com
43592458,Mason,790,10059891,60,sampleemailtest30+68@gmail.com
16453517,Gibson,791,10059892,51,sampleemailtest30+69@gmail.com
59077474,Johnston,792,10059893,60,sampleemailtest30+70@gmail.com
19857011,Elliott,793,10059894,51,sampleemailtest30+71@gmail.com
85229132,Thompson,794,10059895,60,sampleemailtest30+72@gmail.com
70734448,Robinson,795,10059896,50,sampleemailtest30+73@gmail.com
26779150,Murphy,796,10059897,57,sampleemailtest30+74@gmail.com
25997531,Tucker,797,10059898,50,sampleemailtest30+75@gmail.com
14582675,Lloyd,798,10059899,60,sampleemailtest30+76@gmail.com
12951347,Richards,799,10059900,52,sampleemailtest30+77@gmail.com
64312322,Stewart,800,10059901,59,sampleemailtest30+78@gmail.com
7911990,Baker,801,10059902,58,sampleemailtest30+79@gmail.com
82322886,Tucker,802,10059903,59,sampleemailtest30+80@gmail.com
93832757,Payne,803,10059904,60,sampleemailtest30+81@gmail.com
21553426,Taylor,804,10059905,53,sampleemailtest30+82@gmail.com
8075351,Andrews,805,10059906,53,sampleemailtest30+83@gmail.com
84893291,Barrett,806,10059907,53,sampleemailtest30+84@gmail.com
47333818,Baker,712,10059908,47,sampleemailtest30+85@gmail.com
72410422,Grant,713,10059909,43,sampleemailtest30+86@gmail.com
4489125,Wilson,714,10059910,43,sampleemailtest30+87@gmail.com
97005134,Sullivan,715,10059911,40,sampleemailtest30+88@gmail.com
14555199,Carter,716,10059888,45,sampleemailtest30+89@gmail.com
87648107,Perry,717,10059889,43,sampleemailtest30+90@gmail.com
42404212,Wells,718,10059890,40,sampleemailtest30+91@gmail.com
38898300,Thompson,719,10059891,50,sampleemailtest30+92@gmail.com
59531588,Richardson,720,10059892,42,sampleemailtest30+93@gmail.com
35719325,Hall,721,10059893,48,sampleemailtest30+94@gmail.com
28172550,Cameron,722,10059894,44,sampleemailtest30+95@gmail.com
73469514,Chapman,723,10059895,43,sampleemailtest30+96@gmail.com
50580361,Bennett,724,10059896,50,sampleemailtest30+97@gmail.com
